"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Sep., 2006"	"2006/09"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Sep., 2006"	"2006/09"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Sep., 2006"	"2006/09"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Sep., 2006"	"2006/09"					2823	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"< 1 year"	"1"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"1-4 years"	"1-4"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"1-4 years"	"1-4"			2	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"5-9 years"	"5-9"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"15-19 years"	"15-19"	"Female"	"F"	14	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"15-19 years"	"15-19"	"Male"	"M"	68	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"15-19 years"	"15-19"			82	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"20-24 years"	"20-24"	"Female"	"F"	47	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"20-24 years"	"20-24"	"Male"	"M"	168	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"20-24 years"	"20-24"			215	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"25-29 years"	"25-29"	"Female"	"F"	65	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"25-29 years"	"25-29"	"Male"	"M"	212	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"25-29 years"	"25-29"			277	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"30-34 years"	"30-34"	"Female"	"F"	58	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"30-34 years"	"30-34"	"Male"	"M"	158	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"30-34 years"	"30-34"			216	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"35-39 years"	"35-39"	"Female"	"F"	127	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"35-39 years"	"35-39"	"Male"	"M"	212	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"35-39 years"	"35-39"			339	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"40-44 years"	"40-44"	"Female"	"F"	170	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"40-44 years"	"40-44"	"Male"	"M"	266	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"40-44 years"	"40-44"			436	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"45-49 years"	"45-49"	"Female"	"F"	190	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"45-49 years"	"45-49"	"Male"	"M"	316	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"45-49 years"	"45-49"			506	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"50-54 years"	"50-54"	"Female"	"F"	147	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"50-54 years"	"50-54"	"Male"	"M"	215	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"50-54 years"	"50-54"			362	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"55-59 years"	"55-59"	"Female"	"F"	93	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"55-59 years"	"55-59"	"Male"	"M"	109	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"55-59 years"	"55-59"			202	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"60-64 years "	"60-64"	"Female"	"F"	35	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"60-64 years "	"60-64"	"Male"	"M"	40	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"60-64 years "	"60-64"			75	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"65-69 years"	"65-69"	"Female"	"F"	20	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"65-69 years"	"65-69"	"Male"	"M"	17	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"65-69 years"	"65-69"			37	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"70-74 years"	"70-74"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"70-74 years"	"70-74"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"70-74 years"	"70-74"			17	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"75-79 years"	"75-79"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"75-79 years"	"75-79"			13	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"80-84 years"	"80-84"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"80-84 years"	"80-84"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"80-84 years"	"80-84"			22	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"85-89 years"	"85-89"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"85-89 years"	"85-89"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"85-89 years"	"85-89"			10	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"90-94 years"	"90-94"			3	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"95-99 years"	"95-99"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"95-99 years"	"95-99"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"95-99 years"	"95-99"			4	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	"Not Stated"	"NS"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"	"Not Stated"	"NS"			2	Not Applicable	Not Applicable
"Total"	"Oct., 2006"	"2006/10"					2826	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"< 1 year"	"1"			2	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"1-4 years"	"1-4"			2	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"10-14 years"	"10-14"			1	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"15-19 years"	"15-19"	"Female"	"F"	20	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"15-19 years"	"15-19"	"Male"	"M"	47	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"15-19 years"	"15-19"			67	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"20-24 years"	"20-24"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"20-24 years"	"20-24"	"Male"	"M"	168	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"20-24 years"	"20-24"			210	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"25-29 years"	"25-29"	"Female"	"F"	69	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"25-29 years"	"25-29"	"Male"	"M"	196	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"25-29 years"	"25-29"			265	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"30-34 years"	"30-34"	"Female"	"F"	70	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"30-34 years"	"30-34"	"Male"	"M"	176	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"30-34 years"	"30-34"			246	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"35-39 years"	"35-39"	"Female"	"F"	119	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"35-39 years"	"35-39"	"Male"	"M"	210	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"35-39 years"	"35-39"			329	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"40-44 years"	"40-44"	"Female"	"F"	163	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"40-44 years"	"40-44"	"Male"	"M"	251	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"40-44 years"	"40-44"			414	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"45-49 years"	"45-49"	"Female"	"F"	191	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"45-49 years"	"45-49"	"Male"	"M"	290	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"45-49 years"	"45-49"			481	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"50-54 years"	"50-54"	"Female"	"F"	154	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"50-54 years"	"50-54"	"Male"	"M"	220	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"50-54 years"	"50-54"			374	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"55-59 years"	"55-59"	"Female"	"F"	99	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"55-59 years"	"55-59"	"Male"	"M"	99	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"55-59 years"	"55-59"			198	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"60-64 years "	"60-64"	"Female"	"F"	34	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"60-64 years "	"60-64"	"Male"	"M"	45	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"60-64 years "	"60-64"			79	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"65-69 years"	"65-69"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"65-69 years"	"65-69"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"65-69 years"	"65-69"			33	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"70-74 years"	"70-74"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"70-74 years"	"70-74"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"70-74 years"	"70-74"			21	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"75-79 years"	"75-79"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"75-79 years"	"75-79"			9	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"80-84 years"	"80-84"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"80-84 years"	"80-84"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"80-84 years"	"80-84"			19	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"85-89 years"	"85-89"			8	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"90-94 years"	"90-94"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"90-94 years"	"90-94"			5	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"95-99 years"	"95-99"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"95-99 years"	"95-99"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"95-99 years"	"95-99"			3	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Nov., 2006"	"2006/11"					2767	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"< 1 year"	"1"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"< 1 year"	"1"			4	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"1-4 years"	"1-4"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"1-4 years"	"1-4"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"1-4 years"	"1-4"			6	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"5-9 years"	"5-9"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"10-14 years"	"10-14"			3	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"15-19 years"	"15-19"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"15-19 years"	"15-19"	"Male"	"M"	52	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"15-19 years"	"15-19"			69	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"20-24 years"	"20-24"	"Female"	"F"	42	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"20-24 years"	"20-24"	"Male"	"M"	168	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"20-24 years"	"20-24"			210	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"25-29 years"	"25-29"	"Female"	"F"	81	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"25-29 years"	"25-29"	"Male"	"M"	195	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"25-29 years"	"25-29"			276	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"30-34 years"	"30-34"	"Female"	"F"	65	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"30-34 years"	"30-34"	"Male"	"M"	174	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"30-34 years"	"30-34"			239	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"35-39 years"	"35-39"	"Female"	"F"	99	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"35-39 years"	"35-39"	"Male"	"M"	211	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"35-39 years"	"35-39"			310	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"40-44 years"	"40-44"	"Female"	"F"	169	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"40-44 years"	"40-44"	"Male"	"M"	257	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"40-44 years"	"40-44"			426	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"45-49 years"	"45-49"	"Female"	"F"	180	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"45-49 years"	"45-49"	"Male"	"M"	277	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"45-49 years"	"45-49"			457	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"50-54 years"	"50-54"	"Female"	"F"	142	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"50-54 years"	"50-54"	"Male"	"M"	251	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"50-54 years"	"50-54"			393	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"55-59 years"	"55-59"	"Female"	"F"	65	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"55-59 years"	"55-59"	"Male"	"M"	137	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"55-59 years"	"55-59"			202	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"60-64 years "	"60-64"	"Female"	"F"	47	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"60-64 years "	"60-64"	"Male"	"M"	43	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"60-64 years "	"60-64"			90	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"65-69 years"	"65-69"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"65-69 years"	"65-69"	"Male"	"M"	17	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"65-69 years"	"65-69"			39	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"70-74 years"	"70-74"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"70-74 years"	"70-74"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"70-74 years"	"70-74"			16	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"75-79 years"	"75-79"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"75-79 years"	"75-79"	"Male"	"M"	8	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"75-79 years"	"75-79"			18	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"80-84 years"	"80-84"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"80-84 years"	"80-84"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"80-84 years"	"80-84"			12	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"85-89 years"	"85-89"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"85-89 years"	"85-89"			10	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"90-94 years"	"90-94"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"90-94 years"	"90-94"			6	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Dec., 2006"	"2006/12"					2788	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"< 1 year"	"1"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"< 1 year"	"1"			5	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"1-4 years"	"1-4"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"1-4 years"	"1-4"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"1-4 years"	"1-4"			6	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"5-9 years"	"5-9"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"10-14 years"	"10-14"			3	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"15-19 years"	"15-19"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"15-19 years"	"15-19"	"Male"	"M"	62	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"15-19 years"	"15-19"			85	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"20-24 years"	"20-24"	"Female"	"F"	51	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"20-24 years"	"20-24"	"Male"	"M"	170	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"20-24 years"	"20-24"			221	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"25-29 years"	"25-29"	"Female"	"F"	74	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"25-29 years"	"25-29"	"Male"	"M"	203	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"25-29 years"	"25-29"			277	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"30-34 years"	"30-34"	"Female"	"F"	92	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"30-34 years"	"30-34"	"Male"	"M"	176	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"30-34 years"	"30-34"			268	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"35-39 years"	"35-39"	"Female"	"F"	121	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"35-39 years"	"35-39"	"Male"	"M"	206	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"35-39 years"	"35-39"			327	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"40-44 years"	"40-44"	"Female"	"F"	166	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"40-44 years"	"40-44"	"Male"	"M"	260	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"40-44 years"	"40-44"			426	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"45-49 years"	"45-49"	"Female"	"F"	215	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"45-49 years"	"45-49"	"Male"	"M"	307	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"45-49 years"	"45-49"			522	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"50-54 years"	"50-54"	"Female"	"F"	181	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"50-54 years"	"50-54"	"Male"	"M"	215	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"50-54 years"	"50-54"			396	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"55-59 years"	"55-59"	"Female"	"F"	87	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"55-59 years"	"55-59"	"Male"	"M"	153	Not Applicable	Not Applicable
"Total"	"Jan., 2007"	"2007/01"	"55-59 years"	"55-59"			240	Not Applicable	Not Applicable
